 Date__(UT)__HR:MN     R.A._____(ICRF)_____DEC             delta      deldot  1-way_down_LT
*******************************************************************************************
$$SOE
 2014-Mar-06 00:00     10 21 41.19 +16 00 21.0  0.00953942088908  -0.0140364     0.07933694
 2014-Mar-07 00:00     10 26 33.90 +15 41 27.0  0.00953127623940  -0.0141697     0.07926921
 2014-Mar-08 00:00     10 31 30.69 +15 21 23.9  0.00952296677488  -0.0146472     0.07920010
 2014-Mar-09 00:00     10 36 31.39 +15 00 12.5  0.00951428104005  -0.0154718     0.07912786
 2014-Mar-10 00:00     10 41 35.80 +14 37 54.1  0.00950505046510  -0.0165275     0.07905109
 2014-Mar-11 00:00     10 46 43.58 +14 14 30.7  0.00949510676683  -0.0180613     0.07896839
 2014-Mar-12 00:00     10 51 54.31 +13 50 05.2  0.00948426799336  -0.0194961     0.07887825
 2014-Mar-13 00:00     10 57 07.96 +13 24 37.2  0.00947256173808  -0.0210593     0.07878089
 2014-Mar-14 00:00     11 02 24.21 +12 58 08.6  0.00945992488664  -0.0227113     0.07867580
 2014-Mar-15 00:00     11 07 42.71 +12 30 41.4  0.00944632002472  -0.0244019     0.07856265
 2014-Mar-16 00:00     11 13 03.08 +12 02 17.9  0.00943174252015  -0.0260677     0.07844141
 2014-Mar-17 00:00     11 18 24.93 +11 33 00.4  0.00941622823974  -0.0276324     0.07831238
 2014-Mar-18 00:00     11 23 47.85 +11 02 51.3  0.00939986393772  -0.0289825     0.07817628
 2014-Mar-19 00:00     11 29 11.47 +10 31 52.7  0.00938280402985  -0.0300411     0.07803440
 2014-Mar-20 00:00     11 34 35.34 +10 00 07.0  0.00936523187934  -0.0307451     0.07788826
 2014-Mar-21 00:00     11 39 58.90 +09 27 37.5  0.00934731161715  -0.0312803     0.07773922
 2014-Mar-22 00:00     11 45 21.61 +08 54 27.1  0.00932928515128  -0.0310558     0.07758930
 2014-Mar-23 00:00     11 50 43.32 +08 20 36.3  0.00931153971624  -0.0303006     0.07744171
 2014-Mar-24 00:00     11 56 03.77 +07 46 06.3  0.00929439811409  -0.0289604     0.07729915
 2014-Mar-25 00:00     12 01 22.81 +07 10 57.8  0.00927821451232  -0.0269811     0.07716456
 2014-Mar-26 00:00     12 06 40.41 +06 35 11.1  0.00926332239609  -0.0244886     0.07704070
 2014-Mar-27 00:00     12 11 56.61 +05 58 46.4  0.00925003376106  -0.0214399     0.07693018
 2014-Mar-28 00:00     12 17 11.57 +05 21 43.6  0.00923865060146  -0.0179063     0.07683551
 2014-Mar-29 00:00     12 22 25.45 +04 44 03.2  0.00922936294961  -0.0142765     0.07675827
 2014-Mar-30 00:00     12 27 38.55 +04 05 45.6  0.00922229994414  -0.0101553     0.07669953
 2014-Mar-31 00:00     12 32 51.41 +03 26 49.4  0.00921764903788  -0.0059479     0.07666085
 2014-Apr-01 00:00     12 38 04.42 +02 47 15.3  0.00921542091041  -0.0017851     0.07664232
 2014-Apr-02 00:00     12 43 17.94 +02 07 04.5  0.00921555455441   0.0022146     0.07664343
 2014-Apr-03 00:00     12 48 32.25 +01 26 19.0  0.00921792988310   0.0059653     0.07666319
 2014-Apr-04 00:00     12 53 47.57 +00 45 01.2  0.00922238854489   0.0094230     0.07670027
 2014-Apr-05 00:00     12 59 04.04 +00 03 14.2  0.00922875446200   0.0125692     0.07675321
 2014-Apr-06 00:00     13 04 21.73 -00 38 58.6  0.00923684160517   0.0153809     0.07682047
 2014-Apr-07 00:00     13 09 40.65 -01 21 33.5  0.00924645725489   0.0178622     0.07690044
 2014-Apr-08 00:00     13 15 00.76 -02 04 26.2  0.00925741046117   0.0200126     0.07699154
 2014-Apr-09 00:00     13 20 21.96 -02 47 33.2  0.00926950957423   0.0218298     0.07709216
 2014-Apr-10 00:00     13 25 44.14 -03 30 50.1  0.00928256099176   0.0233096     0.07720071
 2014-Apr-11 00:00     13 31 07.12 -04 14 12.5  0.00929637003101   0.0244551     0.07731555
 2014-Apr-12 00:00     13 36 30.69 -04 57 36.2  0.00931073986361   0.0252498     0.07743506
 2014-Apr-13 00:00     13 41 54.58 -05 40 57.0  0.00932547137922   0.0257104     0.07755758
 2014-Apr-14 00:00     13 47 18.50 -06 24 10.6  0.00934037842707   0.0258641     0.07768156
 2014-Apr-15 00:00     13 52 42.08 -07 07 12.7  0.00935529738432   0.0257626     0.07780564
 2014-Apr-16 00:00     13 58 04.94 -07 49 59.4  0.00937010406552   0.0254930     0.07792878
 2014-Apr-17 00:00     14 03 26.63 -08 32 26.8  0.00938472720447   0.0251436     0.07805040
 2014-Apr-18 00:00     14 08 46.70 -09 14 31.0  0.00939915537144   0.0248376     0.07817039
 2014-Apr-19 00:00     14 14 04.66 -09 56 08.7  0.00941344751327   0.0246914     0.07828926
 2014-Apr-20 00:00     14 19 20.06 -10 37 16.6  0.00942772749603   0.0248121     0.07840802
 2014-Apr-21 00:00     14 24 32.48 -11 17 52.1  0.00944217633223   0.0252895     0.07852819
 2014-Apr-22 00:00     14 29 41.59 -11 57 52.9  0.00945702085153   0.0261915     0.07865164
 2014-Apr-23 00:00     14 34 47.13 -12 37 16.9  0.00947251950186   0.0275593     0.07878054
 2014-Apr-24 00:00     14 39 48.97 -13 16 02.7  0.00948894617584   0.0294045     0.07891716
 2014-Apr-25 00:00     14 44 47.09 -13 54 09.1  0.00950657207923   0.0317060     0.07906375
 2014-Apr-26 00:00     14 49 41.51 -14 31 34.8  0.00952558040039   0.0340854     0.07922184
 2014-Apr-27 00:00     14 54 32.40 -15 08 18.8  0.00954612282897   0.0370974     0.07939268
 2014-Apr-28 00:00     14 59 20.18 -15 44 21.5  0.00956847191227   0.0403227     0.07957855
 2014-Apr-29 00:00     15 04 05.21 -16 19 42.5  0.00959271687292   0.0436425     0.07978019
 2014-Apr-30 00:00     15 08 47.88 -16 54 21.3  0.00961887749991   0.0469375     0.07999776
 2014-May-01 00:00     15 13 28.57 -17 28 17.4  0.00964690737348   0.0500989     0.08023088
 2014-May-02 00:00     15 18 07.67 -18 01 30.5  0.00967671222266   0.0531013     0.08047876
 2014-May-03 00:00     15 22 45.49 -18 33 59.9  0.00970815885014   0.0557437     0.08074030
 2014-May-04 00:00     15 27 22.28 -19 05 44.9  0.00974103336963   0.0580389     0.08101370
 2014-May-05 00:00     15 31 58.26 -19 36 45.1  0.00977512392794   0.0599497     0.08129723
